,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Vitamins,"VITA
micro g","A_VITA
micro g","VITD
micro g","VITE
micro g","VITC
mg","THIA
mg","RIBF
mg","NIA
mg","VIT B6
mg","FOL
micro g","VIT B12
micro g","PANT
mg"
"Banana porridge, plain",65.6,0.0,0.0,0.0,2024-05-08 00:00:00,0.0,0.0,0.6,0.2,2024-05-18 00:00:00,0.0,0.2
Banana porridge with meat,104.7,44..0,0.0,0.1,2024-01-16 00:00:00,0.0,0.0,2024-05-01 00:00:00,0.3,2024-03-22 00:00:00,0.4,0.3
Banana porridge with fish,1125.6,0.0,0.0,0.1,2024-09-09 00:00:00,0.1,0.1,0.8,0.2,2024-01-26 00:00:00,0.0,0.2
Banana porridge with meat and spinach,220.7,0.0,0.0,0.2,2024-08-06 00:00:00,0.1,0.1,2024-05-01 00:00:00,0.3,33.7,0.6,0.3
Banana with cashew nut,30.0,0.0,0.0,0.1,9.0,0.0,0.0,0.5,0.1,2024-04-11 00:00:00,0.2,0.1
Banana with coconut milk,84.3,0.0,0.0,0.0,2024-07-10 00:00:00,0.1,0.1,0.8,0.2,2024-03-25 00:00:00,0.0,0.2
Banana with kidney beans,69.8,0.0,0.0,0.6,2024-01-09 00:00:00,0.1,0.1,0.7,0.2,2024-02-21 00:00:00,0.0,0.2
Banana with meat,86.0,0.0,0.0,0.0,2024-04-10 00:00:00,0.1,0.1,0.8,0.2,2024-07-24 00:00:00,0.0,0.2
Banana with meat and coconut milk,91.0,0.0,0.0,0.1,11.0,0.1,0.1,0.8,0.2,26.0,0.0,0.2
"Banana with meat, oil and vegetable",91.0,0.0,0.0,0.0,11.0,0.1,0.1,0.8,0.2,26.0,0.0,0.2
Banana with oil (no meat ),62.7,0.0,0.0,2024-02-01 00:00:00,2024-09-07 00:00:00,0.1,0.1,0.7,0.2,21.0,0.0,0.2
"Banana, boiled",62.5,0.0,0.0,0.4,2024-06-03 00:00:00,0.1,0.0,0.7,0.1,2024-09-26 00:00:00,0.0,0.2
"Banana, fried",91.0,0.0,0.0,0.1,11.0,0.1,0.1,0.8,0.2,26.0,0.0,0.2
"Banana, roast",2024-03-27 00:00:00,0.0,0.0,0.2,2024-05-08 00:00:00,0.0,0.0,0.7,0.1,2024-02-12 00:00:00,0.3,0.2
Cassava porridge with sugar,2024-03-04 00:00:00,0.0,0.0,0.2,2024-01-18 00:00:00,0.1,0.0,0.5,0.2,2024-05-14 00:00:00,0.0,0.2
Cassava stiff porridge,2024-04-01 00:00:00,0.0,0.0,0.3,2024-02-07 00:00:00,0.1,0.1,2024-02-01 00:00:00,0.2,2024-01-11 00:00:00,0.0,0.2
Cassava with coconut milk,2024-03-04 00:00:00,0.0,0.0,0.0,2024-06-22 00:00:00,0.1,0.0,0.7,0.2,20.0,0.0,0.3
,,,,,,,,,,,,
