,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,No_recipes,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
"Banana porridge, plain",One recipe,105.3,0.6,0.0,0.0,2024-02-03 00:00:00,2024-03-21 00:00:00
Banana porridge with meat,One recipe,280.5,7.0,6.0,2024-06-05 00:00:00,16.0,2024-05-29 00:00:00
Banana porridge with fish,One recipe,118.7,2024-05-02 00:00:00,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-09-05 00:00:00,2024-08-15 00:00:00
Banana porridge with meat and spinach,One recipe,212.0,2024-06-08 00:00:00,2024-08-07 00:00:00,2024-08-07 00:00:00,2024-03-13 00:00:00,2024-05-16 00:00:00
Banana with cashew nut,One recipe,108.0,2.0,0.0,0.0,2024-08-02 00:00:00,2024-02-22 00:00:00
Banana with coconut milk,Four recipes,191.2,2024-05-01 00:00:00,0.0,0.0,2024-07-10 00:00:00,2024-01-26 00:00:00
Banana with kidney beans,One recipe,93.4,3.0,0.0,0.0,2024-02-01 00:00:00,2024-05-19 00:00:00
Banana with meat,One recipe,77.4,2024-07-02 00:00:00,2024-05-02 00:00:00,2024-04-02 00:00:00,2024-06-03 00:00:00,2024-04-09 00:00:00
Banana with meat and coconut milk,One recipe,130.3,2024-05-01 00:00:00,0.6,0.6,2024-04-02 00:00:00,2024-09-02 00:00:00
"Banana with meat, oil and vegetable",One recipe,121.8,4.0,2024-03-03 00:00:00,2024-03-03 00:00:00,8.0,2024-08-09 00:00:00
Banana with oil (no meat ),One recipe,112.0,0.7,0.0,0.0,2024-07-02 00:00:00,24.0
"Banana, boiled",Wfoods,110.0,0.7,0.0,0.0,0.2,2024-06-29 00:00:00
"Banana, fried",One recipe,159.1,0.8,0.0,0.0,2024-02-05 00:00:00,31.2
"Banana, roast",Wfoods,116.0,0.0,0.8,0.0,0.0,0.2
Cassava porridge with sugar,One recipe,85.8,0.4,0.0,0.0,0.1,2024-05-21 00:00:00
Cassava stiff porridge,One recipe,140.0,2024-07-02 00:00:00,0.0,0.0,2024-02-01 00:00:00,2024-07-30 00:00:00
Cassava with coconut milk,Two recipes,216.3,2024-09-01 00:00:00,0.0,0.0,2024-09-11 00:00:00,2024-09-12 00:00:00
