,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
"Beef liver, raw",2024-02-01 00:00:00,0.5,0.5,275.0,0.0,0.0,0.0
"Beef, boneless",2024-04-10 00:00:00,9.0,0.8,61.0,0.0,0.0,0.0
"Beef, liver, cooked",2024-07-01 00:00:00,0.6,0.7,396.0,0.0,0.0,0.0
"Beef, medium fat, cooked",2024-04-11 00:00:00,2024-01-10 00:00:00,0.9,82.0,0.0,0.0,0.0
"Beef, tripe",0.9,1.0,0.1,35.0,0.0,0.0,0.0
Chicken liver,2024-01-02 00:00:00,2024-04-01 00:00:00,2024-03-01 00:00:00,563.0,0.0,0.0,0.0
"Chicken, raw",2024-06-03 00:00:00,5.0,2024-09-02 00:00:00,55.0,0.0,0.0,0.0
Egg yolk,2024-06-05 00:00:00,2024-08-09 00:00:00,2024-08-01 00:00:00,1326.0,0.0,0.0,0.0
"Egg, chicken",2024-03-03 00:00:00,2024-01-04 00:00:00,2024-04-01 00:00:00,424.0,0.0,0.0,0.0
"Fish, dried, cod",0.7,0.4,2024-01-01 00:00:00,193.0,0.0,0.0,0.0
"Fish, dried, fresh water",2.0,2024-06-03 00:00:00,2.0,57.0,0.0,0.0,0.0
"Fish, fresh",0.5,0.8,0.6,45.0,0.0,0.0,0.0
"Fish, high fat",2024-09-01 00:00:00,2024-01-03 00:00:00,2024-01-01 00:00:00,26.0,0.0,0.0,0.0
"Fish, raw",0.3,0.8,0.7,33.0,0.0,0.0,0.0
"Fish, sardines",0.3,0.8,0.7,33.0,0.0,0.0,0.0
"Fish, small, dried, fresh water",2.0,2024-06-03 00:00:00,2.0,57.0,0.0,0.0,0.0
"Fish, small, fresh, fresh water",0.6,0.9,0.5,58.0,0.0,0.0,0.0
"Fish, smoked, dried-AP",0.3,0.2,0.5,93.0,0.0,0.0,0.0
"Fish, smoked, dried-EP",0.5,0.4,0.8,160.0,0.0,0.0,0.0
Goat meat,2024-04-08 00:00:00,2024-06-07 00:00:00,0.7,75.0,0.0,0.0,0.0
"Mutton, meat",2024-04-08 00:00:00,2024-06-07 00:00:00,0.7,75.0,0.0,0.0,0.0
"Pork, medium fat, cooked",2024-03-19 00:00:00,2024-05-22 00:00:00,2024-04-05 00:00:00,101.0,0.0,0.0,0.0
Sausage,2024-08-10 00:00:00,2024-09-13 00:00:00,2024-08-03 00:00:00,83.0,0.0,0.3,0.0
