,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Vitamins,"VITA
micro g","A_VITA
micro g","VITD
micro g","VITE
micro g","VITC
mg","THIA
mg","RIBF
mg","NIA
mg","VIT B6
mg","FOL
micro g","VIT B12
micro g","PANT
mg"
Cake (home made),208.3,208.3,0.6,0.8,0.0,0.0,0.1,0.3,0.0,2024-02-11 00:00:00,0.2,0.3
"Chapati, dry, Indian",0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.0,9.0,0.0,0.2
Chapati with oil,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.6,0.0,2024-04-10 00:00:00,0.0,0.2
"Donut, African",0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.6,0.0,9.0,0.0,0.2
Maize and kidney bean dish,0.0,0.0,0.0,0.1,0.5,0.1,0.1,1.0,0.1,2024-06-29 00:00:00,0.0,0.2
Maize and sorghum ugali (stiff porridge),2024-01-02 00:00:00,0.0,0.0,0.3,0.0,0.1,0.0,0.8,0.1,2024-03-04 00:00:00,0.0,0.3
Maize porirdge with margarine and sugar,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.5,0.0,32.6,0.0,0.1
Maize porridge without sugar and milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,3.0,0.0,0.0
Maize porridge with sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,3.0,0.0,0.0
Maize porridge with sugar and egg,53.5,53.5,0.2,0.6,0.2,0.1,0.2,0.4,0.1,2024-07-13 00:00:00,0.3,0.4
Maize porridge with sugar and milk,55.0,55.0,0.0,0.0,1.0,0.0,0.2,0.1,0.1,6.0,0.4,0.4
Maize ugali (stiff porridge),0.0,0.0,0.0,0.3,0.0,0.1,0.1,2024-02-01 00:00:00,0.1,2024-06-11 00:00:00,0.0,0.1
Millet porridge with sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.0,0.0,0.0
Mix flour porridge with sugar,0.5,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,2024-06-07 00:00:00,0.0,0.2
Pancake,38.0,38.0,0.2,0.6,0.0,0.1,0.1,0.8,0.1,2024-08-20 00:00:00,0.2,0.5
Rice biriyani,2024-06-16 00:00:00,2024-09-12 00:00:00,0.0,0.1,2024-09-04 00:00:00,0.1,0.1,2024-01-02 00:00:00,0.2,2024-08-09 00:00:00,0.1,0.6
Rice boiled without oil,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.1,2024-06-02 00:00:00,0.0,0.0
Rice boiled with oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,2024-03-06 00:00:00,0.0,0.7
