,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
"Banana porridge, plain",2.2,20.8,22.2,326.1,68.5,0.4,0.0,0.1,0.1,0.1
Banana porridge with meat,6.1,74.4,30.7,455.1,50.0,1.0,0.3,1.0,0.1,0.2
Banana porridge with fish,10.6,96.6,41.5,588.1,123.7,1.5,0.4,1.3,0.2,0.5
Banana porridge with meat and spinach,20.5,82.8,34.6,405.5,127.1,1.3,0.5,1.4,0.1,0.2
Banana with cashewnut,15.1,45.9,36.7,355.6,4.1,0.6,0.0,0.2,0.1,0.2
Banana with coconut milk,6.7,62.7,34.3,149.9,2.3,0.2,0.0,0.1,0.0,0.1
Banana with kidney beans,15.1,55.7,27.2,324.2,434.7,1.1,0.0,0.4,0.1,0.1
Banana with meat,2024-06-01 00:00:00,226.0,11.4,168.9,118.8,0.3,0.1,0.3,0.0,0.1
Banana with meat and coconut milk,3.0,36.1,31.0,449.8,7.0,0.7,0.0,0.2,0.1,0.2
"Banana with meat, oil and vegetable",2.5,24.2,25.3,374.6,4.7,0.5,0.0,0.1,0.1,0.1
Banana with oil (no meat ),3.8,48.6,15.7,216.7,104.4,0.7,0.2,0.7,0.1,0.2
"Banana, boiled",2.0,28.0,32.0,465.0,5.0,0.6,0.0,0.1,0.1,0.2
"Banana, fried",2.0,28.0,32.0,465.0,5.0,0.6,0.0,0.1,0.1,0.2
"Banana, roast",2.0,28.0,32.0,465.0,5.0,0.6,0.0,0.1,0.1,0.2
Cassava porridge with sugar,7.0,25.4,3.6,87.7,0.9,0.3,0.0,0.1,0.0,0.0
Cassava stiff porridge,6.4,89.1,40.5,144.4,11.0,1.2,0.0,0.6,0.1,0.2
Cassava with coconut milk,18.2,89.3,18.8,297.2,8.4,1.4,0.0,0.6,0.2,0.6
,,,,,,,,,,
