,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Amino Acids,"TRP
mg","THR
mg","ILE
mg","LEU
mg","LYS
mg","MET
mg","CYS
mg","PHE
mg","TYR
mg","VAL
mg","ARG
mg","HIS
mg"
Biscuit,122.0,256.0,334.0,632.0,258.0,159.0,198.0,452.0,274.0,387.0,366.0,198.0
Bread roll,102.0,248.0,338.0,616.0,205.0,158.0,192.0,436.0,250.0,382.0,320.0,191.0
"Bread, white",102.0,248.0,338.0,616.0,205.0,158.0,192.0,436.0,250.0,382.0,320.0,191.0
Cake,58.0,169.0,209.0,365.0,217.0,107.0,92.0,236.0,169.0,237.0,212.0,109.0
Cookie,70.0,179.0,230.0,390.0,256.0,110.0,104.0,250.0,175.0,263.0,221.0,112.0
Donut,70.0,179.0,230.0,390.0,256.0,110.0,104.0,250.0,175.0,263.0,221.0,112.0
"Infant cereal, Cerelac",184.0,581.0,752.0,1288.0,873.0,344.0,193.0,705.0,597.0,904.0,763.0,359.0
Macaroni or spaghetti,127.0,281.0,357.0,710.0,228.0,183.0,219.0,520.0,312.0,415.0,417.0,230.0
"Maize, cracked, cooked",171.0,353.0,515.0,913.0,255.0,207.0,375.0,647.0,350.0,568.0,493.0,272.0
"Maize, dried, raw",19.0,101.0,96.0,329.0,75.0,56.0,48.0,132.0,109.0,136.0,134.0,82.0
"Maize, flour, dry",57.0,305.0,291.0,996.0,228.0,170.0,146.0,399.0,330.0,411.0,405.0,248.0
"Maize,green, cooked",57.0,305.0,291.0,996.0,228.0,170.0,146.0,399.0,330.0,411.0,405.0,248.0
"Maize, on the cob, immature",52.0,303.0,303.0,816.0,321.0,157.0,62.0,85.0,287.0,435.0,308.0,207.0
"Maize, yellow, flour",13.0,73.0,73.0,197.0,78.0,38.0,15.0,85.0,69.0,105.0,74.0,50.0
"Millet, bulrush",57.0,305.0,291.0,996.0,228.0,170.0,146.0,399.0,330.0,411.0,405.0,248.0
"Millet, finger, grain or flour",205.0,446.0,484.0,1395.0,353.0,279.0,205.0,539.0,372.0,614.0,558.0,260.0
Mixed porridge flour (maize and oil),178.0,349.0,448.0,840.0,318.0,200.0,278.0,596.0,365.0,537.0,552.0,282.0
