,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Food code,Ingredient,"Amount
g","Energy
Kcal/100 g",Total Energy,"Protein
g/100 g",Total Protein g
30.0,Wheat flour,1000.0,364.0,3640.0,2024-03-12 00:00:00,123.0
307.0,"Egg, Chicken",300.0,155.0,465.0,2024-06-12 00:00:00,37.8
463.0,Salt iodized,4.0,0.0,0.0,0.0,0.0
1113.0,Vegetable oil,300.0,862.0,2586.0,0.0,0.0
,,,,,,
,,,,,,
