,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Amino Acids,"TRP
mg","THR
mg","ILE
mg","LEU
mg","LYS
mg","MET
mg","CYS
mg","PHE
mg","TYR
mg","VAL
mg","ARG
mg","HIS
mg"
Bambara nut relish with coconut milk,49.7,161.5,177.4,293.3,236.9,53.5,45.0,188.3,143.7,190.9,374.7,108.0
Bhajia (chickpea flour fritters),184.2,708.0,817.6,1354.5,1274.8,249.3,257.7,1019.0,474.1,799.5,1801.7,524.3
Chick pea relish with coconut milk,40.2,147.3,168.3,285.0,248.8,56.5,58.9,210.9,104.1,181.9,433.7,106.1
Cow pea (dry) relish without oil,95.0,294.0,314.0,592.0,523.0,110.0,85.0,451.0,250.0,368.0,535.0,240.0
Cow pea (dry) relish with oil,2024-08-28 00:00:00,89.0,94.7,175.2,156.6,33.0,2024-07-27 00:00:00,133.0,75.0,109.8,160.9,71.3
Cow pea (fresh) relish without oil,56.3,174.7,177.0,349.6,309.5,65.2,51.5,266.0,148.0,217.8,314.5,141.8
Cow pea relish with coconut milk,35.5,107.6,116.4,217.1,182.1,42.9,37.8,162.3,93.8,142.7,248.3,84.3
Kidney bean relish without oil,2024-09-24 00:00:00,88.0,67.6,129.3,88.4,2024-08-27 00:00:00,22.0,82.6,46.6,85.3,112.4,40.7
Kidney bean relish with oil,65.5,230.0,242.1,435.8,375.6,81.9,60.1,295.1,154.4,285.5,345.0,152.5
Kidney bean relish with coconut milk,32.7,112.7,146.1,406.2,330.2,103.7,64.7,232.1,164.2,260.3,353.5,134.5
Mung bean (dry) relish with cocount milk,28.6,84.5,93.0,168.0,140.0,34.5,2024-07-31 00:00:00,123.4,71.0,114.9,223.0,64.5
"Mung bean (dry, boiled)",35.0,106.7,114.6,213.9,190.2,39.9,31.6,162.9,91.1,133.0,200.5,86.9
"Pigeon pea (fresh, cooked)",200.7,707.6,727.3,1339.3,743.2,254.0,265.7,1070.9,840.4,866.7,2474-06-01 00:00:00,522.4
Pigeon pea relish with coconut milk,34.2,122.9,144.2,272.6,135.4,74.9,70.0,178.5,112.3,204.5,330.4,80.8
Pigeon pea relish with oil,131.8,491.3,557.1,1039.6,884.3,113.1,177.0,583.9,438.8,614.3,1282.8,351.3
