,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
"Banana, cooked",116.0,0.8,0.0,0.0,0.2,31.2
"Breadfruit, raw",103.0,2024-01-01 00:00:00,0.0,0.0,0.2,2024-01-27 00:00:00
"Cassava, dried",314.0,2024-06-02 00:00:00,0.0,0.0,0.7,76.6
"Cassava, dried, flour",314.0,2024-06-02 00:00:00,0.0,0.0,0.7,76.6
"Cassava, raw",160.0,2024-04-01 00:00:00,0.0,0.0,0.3,38.1
"Cassava, spicy crisps or chips",288.0,2024-04-02 00:00:00,0.0,0.0,0.7,70.2
"Edible starch, tapioca or corn",381.0,0.3,0.0,0.0,0.1,91.3
"Potato, crisps, plain, salted",547.0,2024-06-06 00:00:00,0.0,0.0,37.5,49.7
"Potato, English, cooked",93.0,2.0,0.0,0.0,0.1,2024-06-21 00:00:00
"Potato, raw, with skin",58.0,2024-06-02 00:00:00,0.0,0.0,0.1,2024-04-12 00:00:00
"Squash, fresh-AP",16.0,0.7,0.0,0.0,0.2,2024-04-03 00:00:00
"Squash, fresh-EP",20.0,0.9,0.0,0.0,0.3,2024-03-04 00:00:00
"Sweet potato, fresh-AP",74.0,2024-02-01 00:00:00,0.0,0.0,0.1,2024-05-17 00:00:00
"Sweet potato, fresh-EP",103.0,2024-07-01 00:00:00,0.0,0.0,0.1,2024-03-24 00:00:00
"Sweet potato, orange",103.0,2024-07-01 00:00:00,0.0,0.0,0.1,2024-03-24 00:00:00
"Taro, raw",112.0,2024-05-01 00:00:00,0.0,0.0,0.2,2024-05-26 00:00:00
"Yam, raw",97.0,2024-01-02 00:00:00,0.0,0.0,0.1,2024-09-22 00:00:00
