,"Tanzania Food
Composition Tables"
MINERALS,Description
CA,Calcium in milligrams
P,Phosphorus in milligrams
MGM,Magnesium in milligrams
K,Potassium in milligrams
NA,Sodium in milligrams
FE,Iron in milligrams
MFP_FE,"Iron from meat, fish, and poultry in milligrams (does not include milk or eggs)"
ZN,Zinc in milligrams
CU,Copper in milligrams
