,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Vitamins,"VITA
micro g","A_VITA
micro g","VITD
micro g","VITE
micro g","VITC
mg","THIA
mg","RIBF
mg","NIA
mg","VIT B6
mg","FOL
micro g","VIT B12
micro g","PANT
mg"
Rice bread,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.4,0.1,2024-03-03 00:00:00,0.0,0.4
Rice bun,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,2024-08-04 00:00:00,0.0,0.9
Rice and meat pillau,2024-02-14 00:00:00,0.0,0.0,0.0,2024-02-01 00:00:00,0.0,0.1,2024-01-01 00:00:00,0.1,2024-06-05 00:00:00,0.4,0.4
Rice and mung dish with coconut milk,0.4,0.0,0.0,0.1,0.9,0.1,0.0,0.7,0.1,53.1,0.0,0.5
Rice and mung dish without coconut milk,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.1,40.9,0.0,0.4
Rice porridge with coconut milk without sugar,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.4,0.0,2024-09-09 00:00:00,0.0,0.3
Rice porridge with sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01 00:00:00,0.0,0.6,0.0,0.1
Rice ugali (stiff porridge),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,2024-05-02 00:00:00,0.0,0.5
Rice with coconut milk,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.1,2024-06-02 00:00:00,0.0,0.5
Rice with ground meat,194.2,0.0,0.0,0.8,0.2,0.1,0.1,2.0,0.2,2024-06-13 00:00:00,0.3,0.6
Sorgum and millet ugali (stiff porridge),2024-01-02 00:00:00,0.0,0.0,0.3,0.0,0.1,0.0,0.8,0.1,2024-03-04 00:00:00,0.0,0.3
Sorgum porridge with sugar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.1
Vermicelli - cooked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,10.0,0.0,0.2
Vermicelli with coconut milk and sugar,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.6,0.1,2024-03-12 00:00:00,0.0,0.2
Vermicell with oil and sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,10.0,0.0,0.2
Vermicelli with coconut milk and salt,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.7,0.1,2024-03-15 00:00:00,0.0,0.2
"Wheat fritter, sweet",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,3.0,0.0,0.1
Wheat porridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2024-08-01 00:00:00,0.0,0.0
