,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
"Beef liver, raw",135.0,2024-04-20 00:00:00,2024-04-20 00:00:00,2024-04-20 00:00:00,2024-06-03 00:00:00,2024-09-03 00:00:00
"Beef, boneless",267.0,2024-09-16 00:00:00,2024-09-16 00:00:00,2024-09-16 00:00:00,2024-06-21 00:00:00,0.0
"Beef, liver, cooked",191.0,2024-01-29 00:00:00,2024-01-29 00:00:00,2024-01-29 00:00:00,2024-03-05 00:00:00,2024-01-05 00:00:00
"Beef, medium fat, cooked",323.0,2024-09-24 00:00:00,2024-09-24 00:00:00,2024-09-24 00:00:00,24.0,0.0
"Beef, tripe",83.0,2024-05-14 00:00:00,2024-05-14 00:00:00,2024-05-14 00:00:00,2024-04-02 00:00:00,0.0
Chicken liver,167.0,2024-05-24 00:00:00,0.0,0.0,2024-05-06 00:00:00,0.9
"Chicken, raw",200.0,2024-08-18 00:00:00,2024-08-18 00:00:00,2024-08-18 00:00:00,2024-02-13 00:00:00,0.0
Egg yolk,278.0,2024-02-19 00:00:00,2024-02-19 00:00:00,0.0,2024-07-20 00:00:00,2024-03-02 00:00:00
"Egg, chicken",155.0,2024-06-12 00:00:00,2024-06-12 00:00:00,0.0,2024-06-10 00:00:00,2024-01-01 00:00:00
"Fish, dried,cod",368.0,79.8,79.8,79.8,2024-02-03 00:00:00,0.0
"Fish, dried, fresh water",335.0,58.6,58.6,58.6,2024-04-09 00:00:00,0.0
"Fish, fresh",98.0,2024-01-18 00:00:00,2024-01-18 00:00:00,2024-01-18 00:00:00,2024-04-02 00:00:00,0.0
"Fish, high fat",103.0,2024-06-10 00:00:00,2024-06-10 00:00:00,2024-06-10 00:00:00,2024-08-06 00:00:00,0.0
"Fish, raw",112.0,2024-04-21 00:00:00,2024-04-21 00:00:00,2024-04-21 00:00:00,2024-03-02 00:00:00,0.0
"Fish, sardines",112.0,2024-04-21 00:00:00,2024-04-21 00:00:00,2024-04-21 00:00:00,2024-03-02 00:00:00,0.0
"Fish, small, dried, fresh water",335.0,58.6,58.6,58.6,2024-04-09 00:00:00,0.0
"Fish, small, fresh, fresh water",84.0,2024-08-14 00:00:00,2024-08-14 00:00:00,2024-08-14 00:00:00,2024-03-02 00:00:00,0.0
"Fish, smoked, dried-AP",177.0,38.5,38.5,38.5,2024-05-01 00:00:00,0.0
"Fish, smoked, dried-EP",306.0,66.4,66.4,66.4,2024-05-02 00:00:00,0.0
Goat meat,269.0,2024-09-24 00:00:00,2024-09-24 00:00:00,2024-09-24 00:00:00,18.0,0.0
"Mutton, meat",269.0,2024-09-24 00:00:00,2024-09-24 00:00:00,2024-09-24 00:00:00,18.0,0.0
"Pork, medium fat, cooked",537.0,2024-06-19 00:00:00,2024-06-19 00:00:00,2024-06-19 00:00:00,50.2,0.0
Sausage,369.0,2024-07-19 00:00:00,2024-06-19 00:00:00,2024-06-19 00:00:00,31.2,1.0
