,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Amino Acids,"TRP
mg","THR
mg","ILE
mg","LEU
mg","LYS
mg","MET
mg","CYS
mg","PHE
mg","TYR
mg","VAL
mg","ARG
mg","HIS
mg"
"Lentil, cooked",217.0,866.0,1045.0,1753.0,1688.0,206.0,316.0,1193.0,646.0,1201.0,1868.0,681.0
"Lentil, whole",12.0,52.0,50.0,94.0,58.0,20.0,18.0,69.0,39.0,60.0,124.0,33.0
Palm seed,7.0,23.0,22.0,36.0,31.0,14.0,15.0,26.0,17.0,30.0,59.0,17.0
Groundnuts,250.0,883.0,907.0,1672.0,926.0,317.0,387.0,1049.0,1082.0,3085.0,652.0,1025.0
"Peanut butter, smooth",200.8,706.4,725.6,1337.6,740.8,253.6,309.6,839.2,865.6,2468.0,521.6,820.0
"Pigeon peas, cooked",250.0,883.0,907.0,1672.0,926.0,317.0,331.0,1337.0,1049.0,1082.0,3085.0,652.0
"Pigeon peas, green",72.0,270.0,306.0,572.0,486.0,62.0,97.0,321.0,241.0,338.0,702.0,193.0
"Pigeon peas, raw",209.0,783.0,887.0,1659.0,1409.0,180.0,281.0,931.0,699.0,980.0,2036.0,560.0
Pumpkin seed,350.0,873.0,954.0,1591.0,615.0,663.0,387.0,1131.0,833.0,1094.0,2461.0,501.0
Sesame seed,65.0,354.0,340.0,563.0,553.0,143.0,56.0,348.0,197.0,408.0,744.0,185.0
"Soybean, yellow",388.0,736.0,763.0,1358.0,569.0,586.0,358.0,940.0,743.0,990.0,2630.0,522.0
Sunflower seed,530.0 1585.0,530.0 1585.0,1770.0 2973.0 2430.0,1770.0 2973.0 2430.0,1770.0 2973.0 2430.0,493.0,588.0,1905.0,1380.0,1820.0,2830.0,985.0
