,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
Biscuit,119.0,105.0,27.0,128.0,1302.0,2024-02-01 00:00:00,0.0,0.8,0.2,0.7
Bread roll,120.0,105.0,27.0,113.0,609.0,2024-08-07 00:00:00,0.0,0.9,0.2,0.5
"Bread, white",10.0,105.0,27.0,113.0,609.0,0.5,0.0,0.9,0.2,0.5
Cake,38.0,68.0,9.0,75.0,182.0,0.4,0.0,0.4,0.0,0.2
Cookie,21.0,80.0,12.0,63.0,357.0,0.7,0.0,0.4,0.1,0.3
Donut,21.0,80.0,12.0,63.0,357.0,0.7,0.0,0.4,0.1,0.3
"Infant cereal, Cerelac",315.0,338.0,58.0,482.0,130.0,0.5,0.0,2024-09-01 00:00:00,0.1,0.9
Macaroni or spaghetti,15.0,110.0,22.0,109.0,2.0,2024-02-01 00:00:00,0.0,0.1,0.1,0.0
"Maize, cracked, cooked",2.0,80.0,42.0,95.0,12.0,2024-02-01 00:00:00,0.0,0.6,0.1,0.2
"Maize, dried, raw",6.0,241.0,127.0,287.0,35.0,2024-05-03 00:00:00,0.0,2024-08-01 00:00:00,0.2,5.0
"Maize, flour, dry",6.0,241.0,127.0,287.0,35.0,2024-05-03 00:00:00,0.0,2024-08-01 00:00:00,0.2,0.5
"Maize, green, cooked",5.0,235.0,73.0,568.0,39.0,2024-04-01 00:00:00,0.0,2024-01-01 00:00:00,0.1,0.4
"Maize, on the cob, immature",1.0,57.0,18.0,137.0,9.0,0.3,0.0,0.3,0.0,0.1
"Maize, yellow, flour",6.0,241.0,127.0,287.0,35.0,2024-05-03 00:00:00,0.0,2024-08-01 00:00:00,0.2,0.5
"Millet, bulrush",42.0,296.0,137.0,307.0,11.0,8.0,0.0,2024-01-03 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00
"Millet, finger, grain or flour",275.0,283.0,27.0,408.0,11.0,2024-07-02 00:00:00,0.0,2024-02-01 00:00:00,0.5,2024-05-05 00:00:00
Mixed porridge flour (maize and oil),78.0,333.4,147.6,63.1,2024-02-18 00:00:00,2024-06-05 00:00:00,0.0,2024-06-02 00:00:00,0.6,2024-01-03 00:00:00
