,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
Cake (home made),2024-09-12 00:00:00,2024-07-05 00:00:00,1.0,115.2,0.7,2024-03-23 00:00:00,67.7
"Chapati, dry, Indian",2024-07-02 00:00:00,0.2,0.3,0.0,2024-03-01 00:00:00,0.2,141.0
Chapati with oil,2024-05-16 00:00:00,2024-02-01 00:00:00,0.6,0.0,2024-06-01 00:00:00,0.2,162.2
"Donut, African",2024-07-08 00:00:00,0.6,0.4,0.0,2024-04-01 00:00:00,2024-03-12 00:00:00,141.0
Maize and kidney bean dish,2024-05-05 00:00:00,0.5,0.5,0.0,2024-08-02 00:00:00,0.1,311.2
Maize and sorghum ugali (stiff porridge),0.0,0.3,0.4,0.0,2024-03-04 00:00:00,0.2,197.8
Maize porirdge with margarine and sugar,0.1,0.3,0.3,0.0,1.0,2024-07-12 00:00:00,104.3
Maize porridge no sugar no milk,0.1,0.1,0.2,0.0,0.7,0.0,80.0
Maize porridge with sugar,0.1,0.1,0.2,0.0,0.7,2024-06-14 00:00:00,80.0
Maize porridge with sugar and egg,2024-03-01 00:00:00,2024-02-01 00:00:00,0.5,88.1,0.7,2024-06-06 00:00:00,80.0
Maize porridge with sugar and milk,0.5,0.2,0.1,2024-05-02 00:00:00,0.3,25.0,0.0
Maize ugali (stiff porridge),0.2,0.3,0.5,0.0,2024-04-02 00:00:00,0.2,273.0
Millet porridge with sugar,0.3,0.1,0.0,0.0,2024-03-01 00:00:00,2024-05-14 00:00:00,61.0
Mix flour porridge with sugar,2024-04-01 00:00:00,2024-01-03 00:00:00,2024-09-01 00:00:00,0.0,2024-09-01 00:00:00,2024-01-04 00:00:00,157.7
Pancake,2024-02-09 00:00:00,2024-02-01 00:00:00,0.6,63.6,2024-04-01 00:00:00,0.2,188.0
Rice biriyani,2024-03-05 00:00:00,2024-04-02 00:00:00,2024-03-01 00:00:00,2024-07-23 00:00:00,0.7,0.7,69.0
Rice boiled no oil,0.2,0.2,0.1,0.0,1.0,0.0,166.0
Rice boiled with oil,2024-04-02 00:00:00,0.3,0.2,0.0,2024-02-01 00:00:00,0.1,179.9
