,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
"Lentil, cooked",116.0,9.0,0.0,0.0,0.4,2024-01-20 00:00:00
"Lenti, whole",311.0,2024-01-24 00:00:00,0.0,0.0,2024-01-01 00:00:00,53.9
Palm seed,203.0,0.6,0.0,0.0,2024-02-20 00:00:00,2024-07-06 00:00:00
Groundnuts,567.0,2024-08-25 00:00:00,0.0,0.0,49.2,2024-01-16 00:00:00
"Peanut butter, smooth",520.0,2024-09-25 00:00:00,0.0,0.0,34.0,35.7
"Pigeon peas, cooked",121.0,2024-07-06 00:00:00,0.0,0.0,0.4,2024-07-19 00:00:00
"Pigeon peas, green",148.0,2024-05-09 00:00:00,0.0,0.0,0.4,2024-05-27 00:00:00
"Pigeon peas, raw",343.0,2024-07-21 00:00:00,0.0,0.0,2024-05-01 00:00:00,62.8
Pumpkin seed,435.0,2024-05-19 00:00:00,0.0,0.0,40.6,7.0
Sesame seed,573.0,2024-07-17 00:00:00,0.0,0.0,49.7,2024-05-23 00:00:00
"Soybean, yellow",415.0,36.5,0.0,0.0,20.0,2024-03-30 00:00:00
Sunflower seed,588.0,2024-04-26 00:00:00,0.0,0.0,54.8,2024-04-09 00:00:00
