,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
Mixed porridge flour (no maize),332.2,10.1,0.0,0.0,7.0,62.1
Mixed porridge flour (with maize),382.2,13.8,0.0,0.0,10.2,63.5
"Porridge, fermented",43.0,1.0,0.0,0.0,0.4,9.2
"Rice, flour, local",366.0,5.9,0.0,0.0,1.4,80.1
"Rice, fried and boiled",174.0,2.6,0.0,0.0,7.4,24.6
"Rice, white, grain, raw",358.0,6.5,0.0,0.0,0.5,79.8
Semolina,364.0,10.3,0.0,0.0,1.0,76.3
Sorghum,339.0,11.3,0.0,0.0,3.3,74.6
"Sorghum, flour",339.0,11.3,0.0,0.0,3.3,73.7
"Vermicelli, uncooked",395.0,13.4,0.0,0.0,2.0,79.2
"Wheat, flour, whole grain",339.0,13.7,0.0,0.0,1.9,72.6
"Wheat,dough, deep fried",317.0,7.2,0.0,0.0,7.7,53.4
"Wheat, flour, 72% extract",364.0,10.3,0.0,0.0,1.0,76.3
"Wheat, flour, maida",349.0,12.3,0.0,0.0,1.5,74.1
