,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Amino Acids,"TRP
mg","THR
mg","ILE
mg","LEU
mg","LYS
mg","MET
mg","CYS
mg","PHE
mg","TYR
mg","VAL
mg","ARG
mg","HIS
mg"
Mixed porridge flour (no maize),159.2,514.0,598.0,1251.8,595.3,239.8,185.0,693.8,509.0,707.0,1029.5,348.7
Mixed porridge flour (with maize),94.0,225.0,421.0,727.0,252.0,221.0,131.0,326.0,232.0,505.0,316.0,137.0
"Porridge, fermented",132.0,419.7,480.1,1203.5,361.6,201.4,172.7,622.2,425.3,606.1,922.9,288.5
"Rice, flour, local",72.0,217.0,244.0,488.0,207.0,144.0,137.0,317.0,314.0,348.0,516.0,149.0
"Rice, fried and boiled",192.1,655.3,701.0,1420.8,801.0,258.3,266.4,868.8,654.7,816.2,1438.5,452.6
"Rice, white, grain, raw",75.0,263.0,281.0,538.0,235.0,153.0,133.0,318.0,217.0,397.0,542.0,153.0
Semolina,127.0,281.0,357.0,710.0,228.0,183.0,219.0,520.0,312.0,415.0,417.0,230.0
Sorghum,78.0,238.0,288.0,552.0,241.0,157.0,137.0,356.0,224.0,406.0,554.0,157.0
"Sorghum, flour",78.0,237.0,287.0,550.0,240.0,156.0,137.0,354.0,223.0,405.0,552.0,156.0
"Vermicelli, uncooked",114.0,346.0,398.0,1372.0,206.0,169.0,132.0,502.0,295.0,516.0,327.0,226.0
"Wheat, flour, whole grain",212.0,395.0,508.0,926.0,378.0,212.0,317.0,646.0,400.0,618.0,542.0,317.0
"Wheat,dough, deep fried",124.0,346.0,433.0,1491.0,229.0,169.0,127.0,546.0,321.0,561.0,355.0,246.0
"Wheat,flour,72% extract",89.0,197.0,250.0,497.0,160.0,128.0,153.0,364.0,218.0,291.0,292.0,161.0
"Wheat, flour, maida",127.0,281.0,357.0,710.0,228.0,183.0,219.0,520.0,312.0,415.0,417.0,230.0
