,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Amino Acids,"TRP
mg","THR
mg","ILE
mg","LEU
mg","LYS
mg","MET
mg","CYS
mg","PHE
mg","TYR
mg","VAL
mg","ARG
mg","HIS
mg"
"Banana porridge,plain",2024-08-06 00:00:00,2024-09-15 00:00:00,2024-08-16 00:00:00,2024-08-26 00:00:00,2024-08-27 00:00:00,2024-03-07 00:00:00,2024-01-09 00:00:00,20.0,2024-09-14 00:00:00,2024-06-20 00:00:00,49.0,2024-02-27 00:00:00
Banana porridge with meat,144.3,237.4,244.6,426.5,444.5,158.5,62.9,214.3,184.0,266.9,361.1,185.5
Banana porridge with fish,2024-05-24 00:00:00,95.1,97.9,164.1,176.7,51.7,25.0,91.5,68.2,111.5,176.8,68.1
"Banana porridge with meat, spinach",97.5,368.2,381.9,664.2,691.0,211.5,98.2,335.9,286.8,415.8,548.2,295.3
Banana with cashewnut,2024-04-24 00:00:00,52.0,1358.0,1970-09-01 00:00:00,2210-06-01 00:00:00,719.3,362.1,1053.3,876.1,1313.4,1717.9,797.6
Banana with coconut milk,2024-02-21 00:00:00,60.9,35.5,110.8,115.6,32.9,36.7,90.2,57.2,105.6,295.6,46.9
Banana with kidney beans,35.2,119.9,128.1,222.9,194.7,43.2,33.8,151.4,81.5,149.3,191.7,88.4
Banana with meat,2024-09-30 00:00:00,115.0,118.3,206.5,216.7,66.0,32.3,105.3,89.3,129.4,177.8,96.3
Banana with meat and coconut milk,2024-01-17 00:00:00,51.7,54.0,92.5,91.7,2024-05-27 00:00:00,2024-02-21 00:00:00,56.5,43.7,64.5,125.0,59.6
"Banana with meat, oil and vegetable",45.5,168.6,174.7,306.9,309.1,96.5,50.2,160.3,131.7,197.0,300.3,135.0
Banana with oil (no meat),2024-08-07 00:00:00,2024-06-18 00:00:00,2024-08-21 00:00:00,34.4,2024-02-19 00:00:00,2024-07-05 00:00:00,2024-06-03 00:00:00,2024-07-18 00:00:00,2024-09-12 00:00:00,2024-08-21 00:00:00,2024-08-21 00:00:00,2024-07-09 00:00:00
"969 Banana, boiled",2024-05-08 00:00:00,20.0,2024-09-20 00:00:00,34.2,35.1,2024-05-09 00:00:00,2024-04-11 00:00:00,2024-06-25 00:00:00,19.0,2024-06-26 00:00:00,62.7,37.0
"964 Banana, fried",9.0,21.0,22.0,36.0,37.0,10.0,12.0,27.0,20.0,28.0,66.0,39.0
"Banana, roast",9.0,21.0,22.0,36.0,37.0,10.0,12.0,27.0,20.0,28.0,66.0,39.0
Cassava porridge with sugar,2024-04-05 00:00:00,2024-03-08 00:00:00,8.0,2024-06-11 00:00:00,2024-09-12 00:00:00,2024-03-03 00:00:00,2024-03-08 00:00:00,2024-05-07 00:00:00,2024-01-05 00:00:00,2024-01-10 00:00:00,39.9,2024-07-05 00:00:00
Cassava stiff porridge,2024-07-20 00:00:00,97.0,92.6,306.5,77.0,53.2,49.3,124.7,102.4,130.0,148.1,78.2
956 Cassava with coconut milk,2024-07-24 00:00:00,58.2,60.9,108.7,76.7,2024-05-28 00:00:00,2024-04-16 00:00:00,15.0,10.0,2024-09-19 00:00:00,79.0,2024-04-11 00:00:00
