,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Amino Acids,"TRP
mg","THR
mg","ILE
mg","LEU
mg","LYS
mg","MET
mg","CYS
mg","PHE
mg","TYR
mg","VAL
mg","ARG
mg","HIS
mg"
"Cassava,boiled",15.0,23.0,22.0,32.0,36.0,9.0,23.0,21.0,14.0,28.0,111.0,16.0
"Cassava, fried",15.0,23.0,22.0,32.0,36.0,9.0,23.0,21.0,14.0,28.0,111.0,16.0
Kachori (spicy potato balls),126.0,216.0,248.8,411.1,387.1,92.5,78.1,308.8,143.3,245.1,552.3,159.3
"Potato chips, fried",25.0,59.2,411.6,645.0,542.4,235.2,175.2,400.8,307.8,460.2,453.0,178.8
Potato relish with beef,37.1,107.6,116.8,190.2,183.6,54.2,37.1,120.1,96.6,149.5,194.3,73.2
Potato relish with coconut milk,62.5,172.0,2024-08-26 00:00:00,43.0,410.2,2024-06-11 00:00:00,23.0,2024-07-28 00:00:00,2024-05-18 00:00:00,36.7,127.0,2024-02-18 00:00:00
Potato relish with oil,2024-07-19 00:00:00,47.2,131.3,229.5,129.8,38.3,24.0,126.0,87.0,147.0,147.0,65.3
"Potato, boiled",30.0,71.0,80.0,118.0,119.0,31.0,25.0,87.0,73.0,110.0,90.0,43.0
Roots and tubers mixed,2024-02-08 00:00:00,2024-01-13 00:00:00,2024-01-12 00:00:00,2024-03-19 00:00:00,2024-02-23 00:00:00,2024-07-04 00:00:00,2024-04-10 00:00:00,2024-07-12 00:00:00,2024-04-08 00:00:00,2024-03-15 00:00:00,47.1,2024-04-11 00:00:00
"Sweet potato, boiled",12.0,52.0,50.0,94.0,58.0,20.0,18.0,69.0,39.0,60.0,124.0,33.0
"Sweet potato, fried",21.0,86.0,86.0,126.0,85.0,42.0,14.0,103.0,71.0,112.0,80.0,32.0
"Taro, cooked, without salt",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
