,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
Rice bread,2024-04-03 00:00:00,40.8,2024-07-13 00:00:00,44.3,2024-01-01 00:00:00,0.3,0.0,0.5,0.1,0.5
Rice bun,2024-05-06 00:00:00,83.3,2024-08-28 00:00:00,65.0,1.0,0.5,0.0,0.9,0.1,0.8
Rice and meat pillau,2024-03-06 00:00:00,76.9,2024-08-16 00:00:00,128.8,98.9,0.6,0.4,2024-02-01 00:00:00,0.1,0.3
Rice and mung dish with coconut milk,2024-07-12 00:00:00,106.3,34.3,206.9,136.7,2024-06-01 00:00:00,0.0,1.0,0.2,1.0
Rice and mung dish without coconut milk,2024-09-06 00:00:00,58.9,2024-03-20 00:00:00,75.6,111.4,0.6,0.0,0.6,0.1,0.4
Rice poridge with coconut without sugar,2024-03-06 00:00:00,59.3,2024-02-18 00:00:00,135.5,2024-07-06 00:00:00,0.9,0.0,0.6,0.2,0.7
Rice porridge with sugar,1.0,2024-07-10 00:00:00,2024-06-03 00:00:00,2024-04-08 00:00:00,0.2,0.1,0.0,0.1,0.0,0.1
Rice ugali (stiff porridge),2024-03-03 00:00:00,42.6,2024-08-14 00:00:00,33.2,0.0,0.2,0.0,0.5,0.0,0.4
Rice with coconut milk,2024-07-08 00:00:00,91.1,2024-04-29 00:00:00,152.0,6.0,1.0,0.0,0.9,0.2,1.0
Rice with ground meat,2024-06-13 00:00:00,101.6,2024-03-30 00:00:00,162.8,294.0,0.9,0.3,2024-04-01 00:00:00,0.2,0.6
Sorgum and millet ugali (stiff porridge),2024-03-29 00:00:00,79.0,45.0,66.7,2024-06-02 00:00:00,2024-03-01 00:00:00,0.0,0.5,0.2,0.7
Sorgum porridge with sugar,2024-07-02 00:00:00,2024-05-22 00:00:00,2024-01-17 00:00:00,2024-04-13 00:00:00,0.9,0.4,0.0,0.2,0.1,0.1
Vermicelli - cooked,2024-01-10 00:00:00,75.5,25.0,43.5,87.6,0.7,0.0,0.7,0.1,0.4
Vermicelli with coconut milk and sugar,2024-03-11 00:00:00,85.6,2024-08-27 00:00:00,75.2,2024-03-03 00:00:00,0.9,0.0,0.8,0.2,0.5
Vermicell with oil and sugar,10.0,75.5,25.0,43.5,2024-05-01 00:00:00,0.7,0.0,0.7,0.1,0.4
Vermicelli with coconut milk and salt,2024-04-13 00:00:00,100.6,32.4,109.7,177.3,2024-02-01 00:00:00,0.0,0.9,0.2,0.7
"Wheat fritter, sweet",3.0,20.0,4.0,20.0,0.0,0.2,0.0,0.1,0.0,0.1
Wheat porridge,2024-06-01 00:00:00,11.0,2024-02-02 00:00:00,2024-09-10 00:00:00,0.3,0.1,0.0,0.1,0.0,0.1
