,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Vitamins,"VITA
micro g","A_VITA
micro g","VITD
micro g","VITE
micro g","VITC
mg","THIA
mg","RIBF
mg","NIA
mg","VIT B6
mg","FOL
micro g","VIT B12
micro g","PANT
mg"
"Cassava, boiled",6.0,0.0,0.0,0.0,30.0,0.1,0.0,0.6,0.3,15.0,0.0,0.3
"Cassava, fried",6.0,0.0,0.0,0.3,30.0,0.1,0.0,0.6,0.3,15.0,0.0,0.3
Kachori (spicy potato balls),0.4,0.0,0.0,0.3,11.0,0.2,0.0,2024-04-01 00:00:00,0.4,2024-06-04 00:00:00,0.0,0.6
"Potato chips, fried",0.0,0.0,0.0,0.2,2024-08-10 00:00:00,0.1,0.0,2024-02-01 00:00:00,0.2,2024-05-07 00:00:00,0.0,0.5
Potato relish with beef,50.4,0.0,0.0,0.3,2024-02-28 00:00:00,0.1,0.0,0.4,0.2,19.0,0.0,0.2
Potato relish with coconut milk,0.0,0.0,0.0,0.0,13.0,0.1,0.0,2024-04-01 00:00:00,0.3,9.0,0.0,0.6
Potato relish with oil,0.0,0.0,0.0,1.0,2024-08-13 00:00:00,0.2,0.0,2024-07-01 00:00:00,0.1,33.5,0.0,0.8
"Potato, boiled",2024-06-05 00:00:00,0.0,0.0,0.0,2024-06-09 00:00:00,0.2,0.0,0.9,0.2,2024-07-06 00:00:00,0.0,0.4
Roots and tubers mixed,2024-05-04 00:00:00,0.0,0.0,0.1,2024-05-10 00:00:00,0.1,0.0,2024-02-01 00:00:00,0.2,2024-08-10 00:00:00,0.1,0.5
"Sweet potato, boiled",0.0,0.0,0.0,5.0,12.0,0.1,0.0,0.6,0.2,16.0,0.0,0.3
"Sweet potato, fried",1467.0,0.0,0.0,2024-01-05 00:00:00,25.0,0.1,0.1,0.6,0.2,23.0,0.0,0.2
"Taro, cooked, without salt",4.0,0.0,0.0,2024-04-02 00:00:00,5.0,0.1,0.5,2024-05-01 00:00:00,0.3,19.0,0.0,0.3
