,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
"Banana, cooked",0.1,0.0,0.1,0.0,2024-03-02 00:00:00,2024-03-03 00:00:00,0.0
"Breadfruit, raw",0.0,0.0,0.1,0.0,2024-09-04 00:00:00,11.0,0.0
"Cassava, dried",0.2,0.2,0.2,0.0,2024-06-03 00:00:00,2024-02-02 00:00:00,130.0
"Cassava, dried, flour",0.2,0.2,0.2,0.0,2024-06-03 00:00:00,2024-02-02 00:00:00,130.0
"Cassava, raw",0.1,0.1,0.0,0.0,2024-08-01 00:00:00,2024-07-01 00:00:00,54.0
"Cassava, spicy crisps or chips",0.2,0.2,0.2,0.0,2024-03-03 00:00:00,2.0,119.0
"Edible starch, tapioca or corn",0.0,0.0,0.0,0.0,0.9,0.0,0.0
"Potato, crisps, plain, salted",11.0,2024-08-09 00:00:00,2024-02-12 00:00:00,0.0,2024-04-04 00:00:00,0.4,147.0
"Potato, English, cooked",0.0,0.0,0.0,0.0,2024-05-01 00:00:00,0.2,81.0
"Potato, raw, with skin",0.0,0.0,0.0,0.0,2024-05-02 00:00:00,0.1,147.0
"Squash, fresh-AP",0.1,0.0,0.1,0.0,2024-01-01 00:00:00,0.2,0.0
"Squash, fresh-EP",0.1,0.0,0.1,0.0,2024-04-01 00:00:00,0.2,0.0
"Sweet potato, fresh-AP",0.0,0.0,0.0,0.0,2024-02-02 00:00:00,2.0,7.0
"Sweet potato, fresh-EP",0.0,0.0,0.0,0.0,3.0,2024-08-02 00:00:00,10.0
"Sweet potato, orange",0.0,0.0,0.0,0.0,3.0,2024-08-02 00:00:00,10.0
"Taro, raw",0.0,0.0,0.1,0.0,2024-01-04 00:00:00,0.4,78.0
"Yam, raw",0.0,0.0,0.1,0.0,2024-02-01 00:00:00,0.4,50.0
