,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Vitamins,"VITA
micro g","A_VITA
micro g","VITD
micro g","VITE
micro g","VITC
mg","THIA
mg","RIBF
mg","NIA
mg","VIT B6
mg","FOL
micro g","VIT B12
micro g","PANT
mg"
"177 Lentil, cooked",3.0,0.0,0.0,0.0,5.0,0.5,0.2,2024-09-02 00:00:00,0.5,485.0,0.0,2024-07-01 00:00:00
"Lentil, whole",0.0,0.0,0.0,5.0,12.0,0.1,0.0,0.6,0.2,16.0,0.0,0.3
Palm seed,1002.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.1,9.0,0.0,0.1
Groundnuts,0.0,0.0,0.0,9.0,0.0,0.3,0.1,2024-03-14 00:00:00,0.3,126.0,0.0,2024-04-01 00:00:00
"Peanut butter, smooth",0.0,0.0,0.0,2024-07-06 00:00:00,0.0,0.3,0.1,2024-06-14 00:00:00,0.3,60.0,0.0,0.0
"Pigeon peas, cooked",2.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.0,111.0,0.0,0.3
"Pigeon peas, green",106.0,0.0,0.0,0.0,25.0,0.5,0.3,2024-05-03 00:00:00,0.4,111.0,0.0,0.3
"Pigeon peas, raw",1.0,0.0,0.0,0.0,0.0,0.6,0.2,3.0,0.3,456.0,0.0,2024-03-01 00:00:00
Pumpkin seed,5.0,0.0,0.0,1.0,0.0,0.5,0.1,2024-05-03 00:00:00,0.1,71.0,0.0,0.5
Sesame seed,1.0,0.0,0.0,2.0,0.0,0.8,0.3,2024-05-04 00:00:00,0.8,97.0,0.0,0.1
"168 Soybean, yellow",3.0,0.0,0.0,3.0,3.0,0.4,0.7,1.0,0.2,133.0,0.0,0.4
Sunflower seed,7.0,0.0,0.0,2.0,0.0,0.7,0.1,2024-07-04 00:00:00,0.2,96.0,0.0,0.7
