,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
Biscuit,434.0,9.2,0.0,0.0,11.8,71.5
Bread roll,274.0,8.8,0.0,0.0,3.0,51.9
"Bread, white",274.0,8.8,0.0,0.0,3.0,51.9
Cake,320.0,4.7,2.2,0.0,12.3,48.6
Cookie,478.0,5.1,0.0,0.0,21.1,67.9
Donut,478.0,5.1,0.0,0.0,21.1,67.9
"Infant cereal, Cerelac",387.0,14.0,8.5,0.0,1.0,78.1
Macaroni or spaghetti,371.0,10.5,0.0,0.0,1.0,77.8
"Maize, cracked, cooked",119.0,2.7,0.0,0.0,1.2,25.4
"Maize, dried, raw",362.0,8.1,0.0,0.0,3.6,76.9
"Maize, flour, dry",362.0,8.1,0.0,0.0,3.6,76.9
"Maize, green, cooked",246.0,7.5,0.0,0.0,3.0,57.2
"Maize, on the cob, immature",59.0,1.8,0.0,0.0,0.7,13.8
"Maize, yellow, flour",362.0,8.1,0.0,0.0,3.6,76.9
"Millet, bulrush",361.0,11.6,0.0,0.0,5.0,68.7
"Millet, finger, grain or flour",328.0,6.6,0.0,0.0,1.3,76.2
Mixed porridge flour (maize and oil),414.4,16.9,0.0,0.0,15.6,56.1
