,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
Bambara nut relish with coconut milk,44.2,68.0,2024-03-24 00:00:00,254.3,116.6,2024-02-01 00:00:00,0.0,0.5,0.1,0.4
Bhajia (chickpea flour fritters),107.6,363.8,104.6,649.0,2024-02-15 00:00:00,2024-03-06 00:00:00,0.0,2024-02-03 00:00:00,0.7,2024-02-02 00:00:00
Chick pea relish with coconut milk,2024-06-21 00:00:00,88.0,2024-01-25 00:00:00,193.7,99.6,2024-06-01 00:00:00,0.0,0.8,0.2,0.7
Cow pea (dry) relish without oil,24.0,156.0,53.0,278.0,4.0,2024-05-02 00:00:00,0.0,2024-03-01 00:00:00,0.3,0.5
Cow pea (dry) relish with oil,2024-01-20 00:00:00,122.7,275.3,364.4,2.0,0.0,1.0,0.2,0.0,0.1
Cow pea (fresh) relish without oil,2024-09-14 00:00:00,95.3,32.9,205.6,2024-01-04 00:00:00,2024-06-01 00:00:00,0.0,0.8,0.2,0.3
Cow pea relish with coconut milk,22.0,143.0,47.5,283.1,53.1,2024-04-02 00:00:00,0.0,2024-02-01 00:00:00,0.3,0.6
Kidney bean relish without oil,2024-07-18 00:00:00,90.8,2024-07-28 00:00:00,261.2,2024-04-01 00:00:00,2024-08-01 00:00:00,0.0,0.7,0.1,0.3
Kidney bean relish with oil,2024-09-20 00:00:00,104.2,33.4,314.2,2024-02-02 00:00:00,2024-01-02 00:00:00,0.0,0.8,0.2,0.3
Kidney bean relish with coconut milk,14.5,71.8,2024-05-23 00:00:00,275.5,117.2,2024-01-02 00:00:00,0.5,2024-01-01 00:00:00,0.7,2024-01-01 00:00:00
Mung bean (dry) relish with cocount milk,10.0,57.5,2024-05-19 00:00:00,107.9,278.2,0.9,0.0,0.5,0.1,0.2
"Mung bean (dry, boiled)",6.0,39.0,13.0,70.0,1.0,0.6,0.0,0.3,0.1,0.1
"Pigeon pea (fresh, cooked)",2024-07-29 00:00:00,101.3,34.8,220.4,81.6,2024-02-01 00:00:00,0.0,0.8,0.2,0.3
Pigeon pea relish with coconut milk,2024-01-16 00:00:00,69.1,2024-03-22 00:00:00,172.7,6.0,1.0,0.0,0.6,0.2,0.5
Pigeon pea relish with oil,66.3,228.9,78.8,494.9,2024-06-09 00:00:00,2024-08-02 00:00:00,0.0,2024-08-01 00:00:00,0.5,0.8
