,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
"Banana porridge, plain",2024-07-02 00:00:00,0.2,0.1,0.0,2024-06-01 00:00:00,2024-02-02 00:00:00,0.3
Banana porridge with meat,98.9,96.5,96.4,96.3,98.1,98.7,190.6
Banana porridge with fish,2024-09-04 00:00:00,0.4,0.2,2024-08-02 00:00:00,2024-01-02 00:00:00,2..2,2024-04-05 00:00:00
Banana porridge with meat and spinach,2024-05-08 00:00:00,2024-05-03 00:00:00,0.4,2024-06-25 00:00:00,2024-06-01 00:00:00,2024-08-01 00:00:00,0.3
Banana with cashewnut,0.3,2024-07-01 00:00:00,0.6,0.0,2024-01-02 00:00:00,2024-05-02 00:00:00,2024-08-01 00:00:00
Banana with coconut milk,2024-04-09 00:00:00,0.5,0.2,0.0,2024-04-04 00:00:00,2024-01-02 00:00:00,2024-06-14 00:00:00
Banana with kidney beans,0.9,0.1,0.2,0.0,2024-02-03 00:00:00,2024-06-01 00:00:00,64.9
Banana with meat,2024-03-02 00:00:00,2024-01-01 00:00:00,0.1,8.0,0.7,1.0,0.0
Banana with meat and coconut milk,2024-08-01 00:00:00,0.4,0.1,2024-02-02 00:00:00,2024-05-02 00:00:00,2024-09-02 00:00:00,0.0
"Banana with meat, oil, vegetables",2024-09-05 00:00:00,2024-04-01 00:00:00,0.2,2024-05-10 00:00:00,2024-07-01 00:00:00,0.9,0.0
Banana with oil (no meat),2024-03-02 00:00:00,0.2,0.2,0.0,2024-09-01 00:00:00,2024-05-02 00:00:00,129.1
"Banana, boiled",0.1,0.0,0.1,0.0,2024-02-02 00:00:00,2024-01-03 00:00:00,121.8
"Banana, fried",2024-04-04 00:00:00,0.3,0.2,0.0,2024-03-02 00:00:00,2024-03-03 00:00:00,0.0
"Banana, roast",31.2,0.1,0.0,0.1,0.0,2024-03-02 00:00:00,40.4
Cassava porridge with sugar,0.0,0.0,0.0,0.0,0.5,10.0,85.6
Cassava stiff porridge,0.2,0.3,0.5,0.0,2024-06-02 00:00:00,0.3,253.0
Cassava with coconut milk,2024-03-10 00:00:00,0.5,0.2,0.0,2024-05-05 00:00:00,2024-06-02 00:00:00,151.1
