,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Vitamins,"VITA
micro g","A_VITA
micro g","VITD
micro g","VITE
micro g","VITC
mg","THIA
mg","RIBF
mg","NIA
mg","VIT B6
mg","FOL
micro g","VIT B12
micro g","PANT
mg"
"Banana, cooked",91.0,0.0,0.0,0.0,11.0,0.1,0.1,0.8,0.2,26.0,0.0,0.2
"Breadfruit, raw",4.0,0.0,0.0,1.0,29.0,0.1,0.0,0.8,0.3,10.0,0.0,0.6
"Cassava, dried",14.0,0.0,0.0,0.0,72.0,0.3,0.1,2024-04-01 00:00:00,0.7,36.0,0.0,0.7
"Cassava, dried, flour",14.0,0.0,0.0,0.0,72.0,0.3,0.1,2024-04-01 00:00:00,0.7,36.0,0.0,0.7
"Cassava, raw",1.0,0.0,0.0,0.2,2024-06-20 00:00:00,0.1,0.0,0.9,0.1,27.0,0.0,0.1
"Cassava, spicy crisps or chips",13.0,0.0,0.0,0.0,66.0,0.3,0.0,2024-03-01 00:00:00,0.6,33.0,0.0,0.6
"Edible starch, tapioca or corn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Potato, crisps, plain, salted",0.0,0.0,0.0,0.0,13.0,0.1,0.0,2024-04-01 00:00:00,0.3,9.0,0.0,0.6
"Potato, English, cooked",0.0,0.0,0.0,2024-07-06 00:00:00,2024-06-18 00:00:00,0.1,0.2,2024-02-04 00:00:00,0.7,75.0,0.0,2024-03-04 00:00:00
"Potato, raw, with skin",0.0,0.0,0.0,0.0,2024-04-11 00:00:00,0.0,0.4,1.0,0.2,17.0,0.0,0.0
"Squash, fresh-AP",23.0,0.0,0.0,0.0,5.0,0.0,0.0,0.4,0.1,16.0,0.0,0.1
"Squash, fresh-EP",29.0,0.0,0.0,0.0,6.0,0.0,0.0,0.5,0.1,20.0,0.0,0.1
"Sweet potato, fresh-AP",1056.0,0.0,0.0,4.0,18.0,0.1,0.1,0.4,0.2,17.0,0.0,0.5
"Sweet potato, fresh-EP",1467.0,0.0,0.0,5.0,25.0,0.1,0.1,0.6,0.2,23.0,0.0,0.7
"Sweet potato, orange",1467.0,0.0,0.0,5.0,25.0,0.1,0.1,0.6,0.2,23.0,0.0,0.7
"Taro, raw",4.0,0.0,0.0,2024-04-02 00:00:00,2024-05-04 00:00:00,0.1,0.0,0.6,0.3,22.0,0.0,0.3
"Yam, raw",0.0,0.0,0.0,5.0,12.0,0.1,0.03,0.6,0.23,16.0,0.0,0.31
