,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
Almonds,248.0,2024-07-04 00:00:00,275.0,2024-03-07 00:00:00,1.0,2024-03-04 00:00:00,0.0,2024-04-03 00:00:00,2024-01-01 00:00:00,2024-05-02 00:00:00
"Bambara groundnut, fresh",145.0,158.0,60.0,539.0,14.0,2024-05-02 00:00:00,0.0,0.9,0.1,0.5
"Bean,kidney, green, cooked",37.0,186.0,59.0,528.0,3.0,2024-08-03 00:00:00,0.0,2024-04-01 00:00:00,0.3,0.6
"Bean, mung, dry",24.0,156.0,53.0,278.0,4.0,2024-05-02 00:00:00,0.0,2024-03-01 00:00:00,0.3,0.5
"Bean, mung, raw",63.0,412.0,140.0,734.0,11.0,2024-06-06 00:00:00,0.0,2024-04-03 00:00:00,0.7,2024-03-01 00:00:00
"Beans, kidney, mature, boiled without salt",28.0,142.0,45.0,403.0,2.0,2024-09-02 00:00:00,0.0,2024-01-01 00:00:00,0.2,0.5
"Beans, kidney, mature seeds, raw",72.0,365.0,116.0,1036.0,5.0,2024-05-07 00:00:00,0.0,2024-08-02 00:00:00,0.6,2024-02-01 00:00:00
Cashewnut,266.0,520.0,296.0,732.0,11.0,2024-07-03 00:00:00,0.0,2024-09-02 00:00:00,0.9,2024-03-02 00:00:00
Chickpea,49.0,168.0,48.0,291.0,7.0,2024-09-02 00:00:00,0.0,2024-05-01 00:00:00,0.4,1.0
Chickpea flour (besan),157.0,538.0,154.0,931.0,22.0,2024-03-09 00:00:00,0.0,2024-08-04 00:00:00,2024-01-01 00:00:00,2024-03-03 00:00:00
"Cowpea, green, uncooked",24.0,156.0,53.0,278.0,4.0,2024-05-02 00:00:00,0.0,2024-03-01 00:00:00,0.3,0.5
"Cowpea, uncooked",63.0,412.0,140.0,734.0,11.0,2024-06-06 00:00:00,0.0,2024-04-03 00:00:00,0.7,2024-03-01 00:00:00
Hyancinth beans (dried),50.0,412.0,140.0,734.0,11.0,2024-06-06 00:00:00,0.0,2024-04-03 00:00:00,0.7,2024-03-01 00:00:00
"Hyacinth-beans, immature, raw",50.0,49.0,40.0,252.0,2.0,0.7,0.0,0.4,0.0,0.2
"Hyacinth-beans, immature, boiled without salt",41.0,49.0,42.0,262.0,2.0,0.8,0.0,0.4,0.0,0.2
