,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
Mixed porridge flour (no maize),55.0,235.3,60.5,263.5,2024-02-08 00:00:00,2024-03-03 00:00:00,0.0,2024-04-01 00:00:00,0.4,2024-06-01 00:00:00
Mixed porridge flour (with maize,2024-09-11 00:00:00,306.8,103.2,513.1,15.0,2024-06-04 00:00:00,0.0,2.0,0.6,2024-03-02 00:00:00
"Porridge, fermented",1.0,29.0,15.0,34.0,4.0,0.4,0.0,0.2,0.0,0.1
"Rice, flour, local",8.0,104.0,36.0,81.0,0.0,0.6,0.0,2024-01-01 00:00:00,0.1,2024-01-01 00:00:00
"Rice, fried and boiled",7.0,50.0,20.0,242.0,9.0,0.6,0.0,0.4,0.1,0.4
"Rice, white, grain, raw",8.0,103.0,36.0,81.0,0.0,0.6,0.0,2024-01-01 00:00:00,0.1,2024-01-01 00:00:00
Semolina,15.0,108.0,22.0,107.0,2.0,2024-02-01 00:00:00,0.0,0.7,0.1,0.7
Sorghum,15.0,222.0,34.0,131.0,7.0,2024-01-04 00:00:00,0.0,0.8,0.3,0.9
"Sorghum, flour",25.0,222.0,171.0,131.0,7.0,2024-01-04 00:00:00,0.0,2024-06-01 00:00:00,0.5,0.8
"Vermicelli, uncooked",20.0,151.0,50.0,87.0,3.0,2024-04-01 00:00:00,0.0,2024-04-01 00:00:00,0.3,0.8
"Wheat, flour, whole grain",15.0,108.0,22.0,107.0,2.0,2024-02-01 00:00:00,0.0,0.7,0.1,0.7
"Wheat,dough, deep fried",11.0,76.0,15.0,75.0,1.0,0.8,0.0,0.5,0.1,0.5
"Wheat, flour, 72% extract",15.0,108.0,22.0,107.0,2.0,2024-02-01 00:00:00,0.0,0.7,0.1,0.7
"Wheat, flour, maida",26.0,251.0,92.0,286.0,4.0,2024-08-02 00:00:00,0.0,2.0,0.3,2024-06-02 00:00:00
