,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,No_Recipes,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDI
g"
Cake (home made),Two recipes,375.6,4.6,2.1,0.0,21.3,42.4
"Chapati, dry Indian",Two recipes,207.9,5.2,0.0,0.0,3.5,38.2
Chapati with oil,Three recipes,372.6,5.9,0.0,0.0,19.5,43.9
Donut-African,One recipe,316.6,5.2,0.0,0.0,10.5,50.6
Maize and kidney bean dish,One recipe,156.5,3.6,0.0,0.0,7.0,21.4
Maize and sorgum ugali (stiff porridge),One recipe,110.3,3.0,0.0,0.0,0.9,24.7
Maize porridge with margarine and sugar,One recipe,100.2,1.1,0.0,0.0,0.8,23.1
Maize porridge no sugar no milk,One recipe,36.2,0.8,0.0,0.0,0.4,7.7
Maize porridge with sugar,Six recipes,94.0,0.8,0.0,0.0,0.4,22.7
Maize porridge with sugar and egg,One recipe,106.6,4.4,3.7,1.1,3.6,14.4
Maize porridge with sugar and milk,One recipe,129.8,1.2,0.8,0.8,1.0,30.0
Maize ugali (stiff porridge),Twenty one recipes,123.8,2.7,0.0,0.0,1.2,25.6
Millet porridge with sugar,One recipe,91.0,0.7,0.0,0.0,0.1,22.6
Mix flour porridge with sugar,Six recipes,130.3,2.2,0.0,0.0,6.7,16.4
Pancake,One recipe,291.4,7.0,1.9,0.0,12.1,383.0
Rice biriyani,One recipe,208.3,9.9,8.1,8.1,10.0,19.5
Rice boiled no Oil,Two recipes,159.1,2.6,0.0,0.0,0.6,34.8
Rice boiled with Oil,Eleven recipes,199.1,2.9,0.0,0.0,3.0,39.2
