,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
"Lentil, cooked",51.0,482.0,96.0,989.0,5.0,2024-08-08 00:00:00,0.0,2024-05-03 00:00:00,0.67,1.31
"Lentil, whole",8.0,39.0,26.0,303.0,3.0,0.8,0.0,0.5,0.17,0.24
Palm seed,3.0,14.0,12.0,61.0,0.0,0.2,0.0,0.1,0.1,0.2
Groundnuts,92.0,376.0,168.0,705.0,18.0,2024-06-04 00:00:00,0.0,2024-03-03 00:00:00,2024-01-01 00:00:00,2024-09-01 00:00:00
"Peanut butter, smooth",35.0,369.0,170.0,669.0,540.0,2024-09-01 00:00:00,0.0,2024-08-02 00:00:00,0.6,0.1
"Pigeon peas, cooked",36.0,125.0,43.0,268.0,5.0,2024-05-01 00:00:00,0.0,1.0,0.3,0.4
"Pigeon peas, green",48.0,206.0,69.0,477.0,5.0,2024-06-02 00:00:00,0.0,2024-01-02 00:00:00,0.3,0.9
"Pigeon peas, raw",104.0,363.0,125.0,777.0,15.0,2024-04-04 00:00:00,0.0,2024-09-02 00:00:00,0.8,2024-02-01 00:00:00
Pumpkin seed,97.0,574.0,257.0,301.0,30.0,2024-08-05 00:00:00,0.0,2024-06-07 00:00:00,2024-01-01 00:00:00,2024-01-01 00:00:00
Sesame seed,975.0,629.0,351.0,468.0,11.0,2024-06-14 00:00:00,0.0,2024-08-07 00:00:00,2024-01-04 00:00:00,2024-05-02 00:00:00
"Soybean, yellow",278.0,705.0,280.0,1798.0,3.0,2024-08-15 00:00:00,0.0,5.0,2024-07-01 00:00:00,2024-05-02 00:00:00
Sunflower seed,131.0,776.0,347.0,407.0,40.0,2024-08-07 00:00:00,0.0,2024-03-10 00:00:00,2024-05-01 00:00:00,2024-04-01 00:00:00
