,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
Rice bread,2024-03-06 00:00:00,0.5,0.2,0.0,1.0,2024-04-13 00:00:00,134.7
Rice bun,2024-09-08 00:00:00,0.9,0.5,0.0,2024-09-01 00:00:00,2024-04-09 00:00:00,282.4
Rice and meat pillau,2024-01-03 00:00:00,2024-08-01 00:00:00,0.3,2024-08-16 00:00:00,0.9,0.2,95.9
Rice and mung dish with coconut milk,10.0,0.5,0.2,0.0,2024-07-04 00:00:00,2024-05-02 00:00:00,304.1
Rice and mung dish no coconut milk,0.1,0.0,0.1,0.0,2024-05-01 00:00:00,0.4,168.1
Rice porridge with coconut milk no sugar,2024-01-07 00:00:00,0.4,0.2,0.0,2024-02-01 00:00:00,2024-01-01 00:00:00,182.0
Rice porridge with sugar,0.0,0.0,0.0,0.0,0.2,2024-05-14 00:00:00,35.3
Rice ugali (stiff porridge),0.1,0.1,0.1,0.0,0.3,0.1,144.7
Rice with coconut milk,2024-02-01 00:00:00,0.1,0.1,0.0,0.7,0.1,166.0
Rice with ground meat,2024-02-08 00:00:00,2024-01-04 00:00:00,2024-05-01 00:00:00,2024-06-14 00:00:00,2024-07-01 00:00:00,0.8,252.7
Sorgum and millet ugali (stiff porridge,0.1,0.3,0.4,0.0,2024-03-04 00:00:00,0.2,197.8
Sorgum porridge with sugar,0.1,0.1,0.1,0.0,2024-03-01 00:00:00,2024-06-14 00:00:00,44.0
Vermicelli - cooked,2024-03-01 00:00:00,0.2,0.4,0.0,2024-04-02 00:00:00,0.4,114.0
Vermicelli with coconut milk and sugar,2024-05-02 00:00:00,0.2,0.4,0.0,2024-06-02 00:00:00,2024-08-01 00:00:00,142.3
Vermicell with oil and sugar,2024-05-02 00:00:00,0.3,0.4,0.0,2024-04-02 00:00:00,2024-03-02 00:00:00,114.0
Vermicelli with coconut milk and salt,2024-08-04 00:00:00,0.4,0.5,0.0,2024-09-02 00:00:00,0.7,179.0
"Wheat fritter, sweet",2.0,2024-03-03 00:00:00,2024-02-08 00:00:00,0.0,0.5,32.0,51.0
Wheat porridge,0.0,0.0,0.1,0.0,2024-02-01 00:00:00,2024-06-14 00:00:00,2024-02-28 00:00:00
