,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
"Food
code",Macronutrients,"Energy
Kcal","Protein
g","Animal
Protein
g","MFP
Protein
g","FAT
g","CHO DF
g"
A2,Cereal-based local dishes,,,,,,
513.0,Chapatti (Dry),208.0,5.0,0.0,0.0,4.0,38.0
512.0,Chapatti with oil,372.6,2024-09-05 00:00:00,0.0,0.0,2024-05-19 00:00:00,50.6
532.0,Donut - African,359.7,2024-02-05 00:00:00,0.0,0.0,2024-05-15 00:00:00,50.6
,,,,,,,
