,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
Bambara nut relish with coconut milk,2024-05-07 00:00:00,0.7,1.0,0.0,2024-09-02 00:00:00,0.2,130.1
Bhajia (chickpea flour fritters),0.68,2024-03-01 00:00:00,2024-06-02 00:00:00,0.0,2024-03-16 00:00:00,2024-01-03 00:00:00,628.0
Chick pea relish with coconut milk,2024-02-07 00:00:00,0.5,0.5,0.0,2024-09-04 00:00:00,0.6,181.8
Cow pea (dry) relish without oil,5.0,0.3,0.1,0.0,0.9,0.05,358.0
Cow pea (dry) relish with oil,2024-02-05 00:00:00,0.3,0.3,0.0,2024-05-03 00:00:00,2.0,264.3
Cow pea (fresh) relish without oil,0.1,0.0,0.1,0.0,4.0,0.8,208.8
Cow pea relish with coconut milk,2024-03-01 00:00:00,0.1,0.2,0.0,2024-05-03 00:00:00,2024-03-02 00:00:00,335.3
Kidney bean relish without oil,2024-02-02 00:00:00,0.1,0.2,0.0,2024-08-04 00:00:00,0.7,352.0
Kidney bean relish with oil,2024-08-05 00:00:00,0.4,0.3,0.0,2024-06-03 00:00:00,0.3,385.6
Kidney bean relish with coconut milk,2024-02-04 00:00:00,0.2,0.2,0.0,2024-02-02 00:00:00,0.8,184.9
Mung bean (dry) relish with cocount milk,2024-06-04 00:00:00,0.2,0.1,0.0,2024-09-02 00:00:00,0.5,119.4
"Mung bean (dry, boiled)",0.0,0.0,0.1,0.0,2024-04-02 00:00:00,0.6,108.7
"Pigeon pea (fresh, cooked)",2024-02-04 00:00:00,0.4,0.3,0.0,2024-04-04 00:00:00,0.0,318.4
Pigeon pea relish with coconut milk,2024-03-06 00:00:00,0.3,0.2,0.0,2024-08-03 00:00:00,0.3,211.3
Pigeon pea relish with oil,2024-05-04 00:00:00,0.5,0.5,0.0,2024-09-09 00:00:00,2024-03-01 00:00:00,721.0
