,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
Almonds,2024-09-03 00:00:00,32.1,2024-02-12 00:00:00,0.0,2024-08-11 00:00:00,2024-08-04 00:00:00,2580.0
"Bambara groundnut, fresh",0.7,2024-02-01 00:00:00,3.0,0.0,2024-02-04 00:00:00,0.5,270.0
"Bean, kidney, green, cooked",0.1,0.0,0.4,0.0,2024-04-08 00:00:00,2024-03-01 00:00:00,808.0
"Bean, mung, dry",0.1,0.0,0.2,0.0,2024-05-06 00:00:00,2024-04-01 00:00:00,358.0
"Bean, mung, raw",0.3,0.0,0.5,0.0,2024-02-17 00:00:00,2024-07-03 00:00:00,945.0
"Beans, kidney, mature, boiled without salt",0.1,0.0,0.3,0.0,2024-04-06 00:00:00,0.3,617.0
"Beans, kidney, mature seeds, raw",0.1,0.1,0.5,0.0,2024-09-24 00:00:00,2024-02-02 00:00:00,1586.0
Cashewnut,2024-09-04 00:00:00,33.9,11.0,0.0,2024-09-10 00:00:00,5.0,2580.0
Chickpea,0.3,0.6,2024-02-01 00:00:00,0.0,2024-05-07 00:00:00,2024-04-01 00:00:00,293.0
Chickpea flour (besan),0.7,2024-05-01 00:00:00,3.0,0.0,2024-08-10 00:00:00,2024-09-10 00:00:00,938.0
"Cowpea, green, uncooked",0.1,0.0,0.2,0.0,2024-05-06 00:00:00,2024-04-01 00:00:00,358.0
"Cowpea, uncooked",0.3,0.1,0.5,0.0,2024-06-10 00:00:00,2024-09-06 00:00:00,945.0
Hyancinth beans (dried),0.3,0.0,0.5,0.0,2024-02-17 00:00:00,2024-07-03 00:00:00,945.0
"Hyacinth-beans, immature, raw",0.1,0.1,0.0,0.0,2024-08-07 00:00:00,2024-04-03 00:00:00,20.0
"Hyacinth-beans, immature, boiled without salt",0.1,0.1,0.0,0.0,2024-09-03 00:00:00,2024-04-03 00:00:00,20.0
