,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
"Cassava, boiled",0.1,0.1,0.1,0.0,2024-05-01 00:00:00,0.9,54.0
"Cassava, fried",2024-06-21 00:00:00,2024-05-01 00:00:00,0.6,0.0,2024-03-03 00:00:00,2024-06-03 00:00:00,54.0
Kachori (spicy potato balls),2024-08-08 00:00:00,0.9,0.8,0.0,2024-04-03 00:00:00,2024-04-02 00:00:00,248.4
"Potato chips, fried",2024-03-17 00:00:00,2024-02-01 00:00:00,0.4,0.0,2024-02-01 00:00:00,0.2,67.5
Potato relish with beef,2024-09-04 00:00:00,0.6,0.1,2024-02-03 00:00:00,2024-01-02 00:00:00,0.2,2024-05-17 00:00:00
Potato relish with coconut milk,2024-07-24 00:00:00,0.1,0.3,0.0,9.0,0.3,81.0
Potato relish with oil,0.0,0.1,0.0,0.0,1.0,0.1,391.5
"Potato, boiled",0.0,0.0,0.0,0.0,2024-05-01 00:00:00,0.2,52.6
Roots and tubers mixed,0.1,0.0,0.0,0.0,2024-07-01 00:00:00,2024-05-01 00:00:00,93.8
"Sweet potato, boiled",0.0,0.0,0.1,0.0,2024-02-01 00:00:00,0.4,50.0
"Sweet potato, fried",2024-03-04 00:00:00,0.3,0.1,0.0,3.0,2024-08-02 00:00:00,10.0
"Taro, cooked, without salt",0.0,0.0,0.0,0.0,2024-01-05 00:00:00,0.5,78.0
