,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
"Food
code",Macronutrients,"Energy
Kcal","Protein
g","Animal
Protein
g","MFP
Protein
g","FAT
g","CHO DF
g"
A1,"Cereals and cereal
products",,,,,,
1.0,Biscuit,434.0,2024-02-09 00:00:00,0.0,0.0,2024-08-11 00:00:00,71.5
2.0,Bread roll,274.0,2024-08-08 00:00:00,0.0,0.0,3.0,51.9
3.0,"Bread,white",274.0,2024-08-08 00:00:00,0.0,0.0,3.0,51.9
5.0,Buns,274.0,2024-08-08 00:00:00,0.0,0.0,3.0,51.9
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
