,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
"Lentil, cooked",0.1,0.1,0.2,0.0,2024-09-07 00:00:00,0.7,358.0
"Lenti, whole",0.3,0.3,0.5,0.0,2024-02-21 00:00:00,2024-09-01 00:00:00,959.0
Palm seed,2024-03-16 00:00:00,2024-04-02 00:00:00,0.3,0.0,2024-07-01 00:00:00,2024-01-02 00:00:00,8.0
Groundnuts,2024-08-06 00:00:00,2024-04-24 00:00:00,2024-06-15 00:00:00,0.0,2024-05-08 00:00:00,2024-08-03 00:00:00,1760.0
"Peanut butter, smooth",2024-04-07 00:00:00,2024-02-16 00:00:00,2024-03-10 00:00:00,0.0,2024-02-05 00:00:00,2024-08-07 00:00:00,1600.0
"Pigeon peas, cooked",0.1,0.0,0.2,0.0,2024-04-05 00:00:00,0.7,398.0
"Pigeon peas, green",0.0,0.0,0.2,0.0,2024-07-09 00:00:00,2024-04-08 00:00:00,49.0
"Pigeon peas, raw",0.3,0.0,0.8,0.0,15.0,2.0,1154.0
Pumpkin seed,2024-07-05 00:00:00,2024-03-15 00:00:00,2024-08-17 00:00:00,0.0,2024-05-07 00:00:00,0.5,3818.0
Sesame seed,7.0,2024-08-18 00:00:00,2024-08-21 00:00:00,0.0,2024-09-16 00:00:00,0.7,4710.0
"Soybean, yellow",3.0,2024-05-04 00:00:00,2024-03-11 00:00:00,0.0,2024-03-09 00:00:00,2024-03-04 00:00:00,1473.0
Sunflower seed,2024-07-07 00:00:00,2024-07-20 00:00:00,24.0,0.0,2024-01-10 00:00:00,0.7,5160.0
