,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Amino Acids,"TRP
mg","THR
mg","ILE
mg","LEU
mg","LYS
mg","MET
mg","CYS
mg","PHE
mg","TYR
mg","VAL
mg","ARG
mg","HIS
mg"
Rice bread,2024-02-04 00:00:00,2024-01-18 00:00:00,2024-09-17 00:00:00,52.1,16.0,2024-07-09 00:00:00,2024-01-06 00:00:00,2024-03-16 00:00:00,2024-05-13 00:00:00,2024-07-16 00:00:00,2024-06-16 00:00:00,2024-01-10 00:00:00
Rice bun,2024-06-05 00:00:00,2024-06-29 00:00:00,28.0,96.0,2024-06-21 00:00:00,16.0,2024-04-14 00:00:00,38.4,32.0,39.2,39.2,24.0
Rice and meat pillau,67.3,261.4,269.6,485.1,484.3,151.1,70.1,239.5,204.1,295.5,385.7,203.5
Rice and mung dish with coconut milk,54.9,180.0,192.8,366.3,227.1,89.5,78.0,243.0,151.0,259.7,423.7,121.5
Rice and mung dish without coconut milk Rice and mung dish without coconut milk, 39.4,130.6,139.5,265.4,165.8,64.4,54.0,175.9,109.1,182.9,255.7,89.0
Rice porridge with coconut milk without sugar Rice porridge with coconut milk without sugar,2024-05-14 00:00:00,48.0,51.0,107.3,54.6,2024-08-24 00:00:00,2024-08-25 00:00:00,66.3,42.7,77.5,192.2,31.9
Rice porridge with sugar,2024-08-07 00:00:00,2024-08-23 00:00:00,2024-08-28 00:00:00,55.2,2024-01-24 00:00:00,2024-07-15 00:00:00,2024-07-13 00:00:00,35.6,2024-04-22 00:00:00,40.6,55.4,2024-07-15 00:00:00
Rice ugali (stiff porridge),32.0,97.6,101.8,133.1,123.1,33.7,45.3,94.2,124.2,125.8,281.0,53.2
Rice with coconut milk,49.0,151.0,165.0,307.0,153.0,75.0,80.0,202.0,118.0,215.0,279.0,94.0
Rice with ground meat,71.6,267.1,276.2,510.9,482.9,142.5,73.3,279.5,213.2,308.1,404.3,210.2
Sorgum and millet ugali (stiff porridge),38.8,105.3,143.3,433.3,78.3,60.7,42.7,163.7,99.6,182.3,115.1,72.9
Sorgum porridge with sugar,11.0,35.0,29.0,100.0,23.0,17.0,15.0,40.0,33.0,41.0,41.0,25.0
Vermicelli -cooked,67.7,206.0,235.6,775.6,136.0,101.2,82.1,297.8,175.6,311.1,271.5,134.2
Vermicelli with coconut milk and sugar,57.0,173.0,199.0,686.0,103.0,84.5,66.0,251.0,147.5,258.0,163.5,113.0
Vermicell with oil and sugar,60.5,183.8,210.6,708.0,116.1,90.0,71.9,266.0,156.7,276.0,212.0,119.8
Vermicelli with coconut milk and salt,57.0,173.0,199.0,686.0,103.0,84.5,66.0,147.5,258.0,163.5,113.0,67.1
"Wheat fritter, sweet",23.0,51.0,64.0,128.0,41.0,33.0,39.0,94.0,56.0,75.0,75.0,41.0
Wheat porridge,2024-01-17 00:00:00,35.3,51.5,91.3,2024-05-25 00:00:00,2024-07-20 00:00:00,37.5,64.7,35.0,56.8,49.3,2024-02-27 00:00:00
