,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Minerals,"CA
mg","P
mg","MG
mg","K
mg","NA
mg","FE
mg","MFP_FE
mg","ZN
mg","CU
mg","MN
mg"
"Cassava, boiled",19.0,70.0,10.0,243.0,2.0,0.8,0.0,0.3,0.1,0.1
"Cassava, fried",19.0,70.0,10.0,243.0,2.0,0.8,0.0,0.3,0.1,0.1
Kachori (spicy potato balls),39.7,148.8,50.4,492.7,86.0,2024-02-02 00:00:00,0.0,2024-02-01 00:00:00,0.4,0.8
"Potato chips, fried",2024-02-04 00:00:00,41.7,2024-08-20 00:00:00,325.8,2024-02-04 00:00:00,0.3,0.0,0.2,0.2,0.2
Potato relish with beef,15.0,75.0,35.0,574.0,11.0,0.8,0.0,0.4,0.3,0.3
Potato relish with coconut milk,2024-07-16 00:00:00,144.0,51.7,687.7,2024-07-21 00:00:00,2024-04-02 00:00:00,0.0,2024-02-01 00:00:00,0.6,2024-04-01 00:00:00
Potato relish with oil,2024-05-03 00:00:00,2024-04-03 00:00:00,2024-08-16 00:00:00,266.5,2024-08-03 00:00:00,0.2,0.0,0.2,0.1,0.1
"Potato, boiled",5.0,50.0,25.0,391.0,5.0,0.4,0.0,0.3,0.2,0.2
Roots and tubers mixed,2024-01-13 00:00:00,2024-06-27 00:00:00,10.0,202.8,4.0,0.4,0.0,0.2,0.0,0.1
"Sweet potato, boiled",8.0,39.0,26.0,303.0,3.0,0.8,0.0,0.5,0.2,0.2
"Sweet potato, fried",28.0,55.0,20.0,348.0,10.0,0.5,0.0,0.3,0.2,0.6
"Taro, cooked, without salt",18.0,76.0,30.0,484.0,15.0,0.7,0.0,0.3,0.2,0.4
