,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"FASAT
g","FAMS
g","FAPU
g","CHOLE
mg","FIB
g","SUCS
g","PHYTAC
mg"
Mixed porridge flour (no maize),1.0,3.1,2.4,0.0,9.0,0.8,694.0
Mixed porridge flour (with maize),1.5,4.1,4.0,0.0,8.6,1.3,699.0
Porridge fermented,0.1,0.1,0.2,0.0,0.9,0.0,96.0
"Rice, flour, local",0.4,0.4,0.4,0.0,2.4,0.1,353.0
"Rice,fried and boiled",1.1,1.8,4.3,0.0,1.3,0.1,94.0
"Rice, white, grain, raw",0.1,0.2,0.1,0.0,0.8,0.3,352.0
Semolina,0.2,0.1,0.4,0.0,2.7,0.4,282.0
Sorghum,0.5,1.0,1.4,0.0,9.0,0.7,439.0
"Sorghum, flour",0.5,1.0,1.4,0.0,12.7,0.7,618.0
"Vermicelli, uncooked",0.3,0.3,0.8,0.0,4.8,0.8,227.0
"Wheat, flour, whole grain",0.3,0.2,0.8,0.0,12.2,0.4,282.0
"Wheat,dough, deep fried",1.1,1.7,4.4,0.0,1.9,0.3,197.0
"Wheat,flour,72% extract",0.2,0.1,0.4,0.0,2.7,0.4,282.0
"Wheat, flour, maida",0.3,0.1,0.7,0.0,8.4,0.4,620.0
