,"Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables","Tanzania Food
Composition Tables"
Macronutrients,"ENERGY_KC
Kcal","PROCNT
g","A_PROTEI
g","MFP_PROT
g","FAT
g","CHOCDF
g"
Almonds,578.0,2024-02-21 00:00:00,0.0,0.0,50.6,2024-07-19 00:00:00
"Bambara groundnut, fresh",141.0,2024-04-12 00:00:00,0.0,0.0,2024-04-06 00:00:00,2024-01-11 00:00:00
"Bean, kidney, green, cooked",166.0,2024-04-11 00:00:00,0.0,0.0,0.7,2024-09-29 00:00:00
"Bean, mung, dry",116.0,2024-07-07 00:00:00,0.0,0.0,0.5,2024-08-20 00:00:00
"Bean, mung, raw",306.0,2024-03-20 00:00:00,0.0,0.0,2024-03-01 00:00:00,54.9
"Beans, kidney, mature, boiled without salt",127.0,2024-07-08 00:00:00,0.0,0.0,0.5,2024-08-22 00:00:00
"Beans, kidney, mature seeds, raw",333.0,2024-06-23 00:00:00,0.0,0.0,0.8,60.0
Cashewnut,589.0,20.0,0.0,0.0,52.2,2024-04-20 00:00:00
Chickpea,164.0,2024-09-08 00:00:00,0.0,0.0,2024-06-02 00:00:00,2024-04-27 00:00:00
Chickpea flour (besan),387.0,2024-04-22 00:00:00,0.0,0.0,2024-07-06 00:00:00,57.8
"Cowpea, green, uncooked",116.0,2024-07-07 00:00:00,0.0,0.0,0.5,2024-08-20 00:00:00
"Cowpea, uncooked",336.0,2024-05-23 00:00:00,0.0,0.0,2024-03-01 00:00:00,60.0
Hyancinth beans (dried),306.0,2024-03-20 00:00:00,0.0,0.0,2024-03-01 00:00:00,54.9
"Hyacinth-beans, immature, raw",46.0,2024-01-02 00:00:00,0.0,0.0,0.2,2024-02-09 00:00:00
"Hyacinth-beans, immature, boiled without salt",50.0,3.0,0.0,0.0,0.3,2024-02-09 00:00:00
